beta_deg,theta_deg,range_mm
0.75,57.477,1306.2
0.75,58.185,1296.2
0.75,58.894,1286.2
0.75,59.601,1278.2
0.75,60.31,1268.2
0.75,61.017,1260.2
0.75,61.725,1251.2
0.75,62.449,1244.2
0.75,63.161,1235.2
0.75,63.872,1228.2
0.75,64.583,1220.2
0.75,65.293,1214.2
0.75,66.002,1208.2
0.75,66.713,1201.2
0.75,67.422,1196.2
0.75,68.132,1190.2
0.75,68.842,1184.2
0.75,69.551,1179.2
0.75,70.261,1173.2
0.75,70.969,1169.2
0.75,71.679,1164.2
0.75,72.387,1160.2
0.75,73.096,1155.2
0.75,73.805,1151.2
0.75,74.513,1147.2
0.75,75.222,1143.2
0.75,75.929,1140.2
0.75,76.637,1137.2
0.75,77.345,1133.2
0.75,78.053,1130.2
0.75,78.76,1128.2
0.75,79.467,1125.2
0.75,80.173,1124.2
0.75,80.88,1122.2
0.75,81.588,1118.2
0.75,82.295,1116.2
0.75,83.001,1115.2
0.75,83.707,1113.2
0.75,84.413,1112.2
0.75,85.119,1111.2
0.75,85.824,1111.2
0.75,86.529,1110.2
0.75,87.234,1110.2
0.75,87.94,1109.2
0.75,88.645,1109.2
0.75,89.349,1109.2
0.75,90.055,1108.2
0.75,90.773,1109.2
0.75,91.481,1110.2
0.75,92.189,1110.2
0.75,92.897,1111.2
0.75,93.605,1112.2
0.75,94.312,1113.2
0.75,95.021,1113.2
0.75,95.729,1114.2
0.75,96.436,1116.2
0.75,97.142,1118.2
0.75,97.849,1120.2
0.75,98.556,1122.2
0.75,99.262,1125.2
0.75,99.969,1127.2
0.75,100.675,1129.2
0.75,101.381,1132.2
0.75,102.087,1135.2
0.75,102.792,1139.2
0.75,103.498,1142.2
0.75,104.204,1145.2
0.75,104.908,1150.2
0.75,105.614,1153.2
0.75,106.319,1157.2
0.75,107.023,1162.2
0.75,107.728,1166.2
0.75,108.431,1172.2
0.75,109.137,1176.2
0.75,109.841,1181.2
0.75,110.544,1188.2
0.75,111.249,1192.2
0.75,111.952,1199.2
0.75,112.654,1206.2
0.75,113.359,1211.2
0.75,114.063,1217.2
0.75,114.764,1226.2
0.75,115.468,1232.2
0.75,116.17,1240.2
0.75,116.872,1249.2
0.75,117.575,1256.2
0.75,118.277,1264.2
0.75,118.927,1273.2
0.75,119.621,1281.2
0.75,120.313,1293.2
0.75,121.007,1302.2
0.75,121.702,1311.2
0.75,122.395,1322.2
0.75,123.088,1333.2
0.75,123.781,1344.2
0.75,124.473,1356.2
0.75,125.166,1368.2
0.75,125.859,1380.2
0.75,126.551,1393.2
0.75,127.243,1408.2
0.75,127.936,1421.2
0.75,128.628,1434.2
0.75,129.321,1448.2
0.75,130.012,1465.2
0.75,130.704,1480.2
0.75,131.395,1497.2
0.75,132.075,1536.2
0.75,132.778,1532.2
0.75,133.47,1549.2
0.75,134.161,1568.2
0.75,134.852,1588.2
0.75,135.544,1606.2
0.75,136.234,1629.2
0.75,136.925,1650.2
0.75,137.615,1673.2
0.75,138.306,1696.2
0.75,138.996,1722.2
0.75,139.686,1747.2
0.75,140.377,1773.2
0.75,141.068,1799.2
0.75,141.757,1829.2
0.75,142.447,1858.2
0.75,143.137,1890.2
0.75,143.826,1923.2
0.75,144.517,1954.2
0.75,145.206,1991.2
0.75,145.894,2033.2
0.75,146.601,2072.2
0.75,147.291,2113.2
0.75,147.984,2146.2
0.75,148.683,2156.2
0.75,149.381,2169.2
0.75,150.082,2170.2
0.75,150.784,2168.2
0.75,151.521,2041.5
0.75,152.279,1865.5
0.75,152.971,1892.2
